task_id,release_minute,decision_step,origin,destination
0,0.0,0,Q1,S2
1,7.816666666666666,0,Q4,S5
2,18.9,1,Q2,S8
3,27.8,1,Q2,S5
4,29.4,1,Q1,S2
5,31.1,2,Q2,S7
6,40.78333333333333,2,Q1,S1
7,42.1,2,Q4,S8
8,42.13333333333333,2,Q1,S2
9,43.36666666666667,2,Q1,S11
10,44.11666666666667,2,Q1,S1
11,44.35,2,Q2,S5
12,45.916666666666664,3,Q4,S12
13,46.03333333333333,3,Q2,S1
14,46.75,3,Q4,S1
15,48.666666666666664,3,Q4,S12
16,48.95,3,Q2,S4
17,49.88333333333333,3,Q2,S12
18,50.016666666666666,3,Q4,S7
19,50.71666666666667,3,Q4,S8
20,59.016666666666666,3,Q4,S4
21,60.71666666666667,4,Q2,S2
22,61.583333333333336,4,Q4,S2
23,61.733333333333334,4,Q4,S11
24,62.766666666666666,4,Q2,S12
25,63.13333333333333,4,Q2,S2
26,63.483333333333334,4,Q2,S4
27,63.516666666666666,4,Q4,S4
28,63.8,4,Q4,S4
29,63.983333333333334,4,Q2,S2
30,64.91666666666667,4,Q4,S7
31,65.96666666666667,4,Q2,S10
32,66.06666666666666,4,Q4,S1
33,67.21666666666667,4,Q2,S12
34,67.55,4,Q2,S7
35,67.6,4,Q2,S10
36,68.91666666666667,4,Q4,S4
37,69.76666666666667,4,Q2,S4
38,69.76666666666667,4,Q4,S11
39,70.06666666666666,4,Q2,S12
40,71.58333333333333,4,Q2,S11
41,72.2,4,Q4,S7
42,73.15,4,Q2,S12
43,73.88333333333334,4,Q2,S3
44,74.45,4,Q4,S11
45,75.0,5,Q4,S11
46,75.43333333333334,5,Q2,S4
47,76.48333333333333,5,Q4,S11
48,76.73333333333333,5,Q4,S8
49,78.25,5,Q2,S4
50,78.68333333333334,5,Q4,S8
51,80.35,5,Q4,S9
52,80.56666666666666,5,Q4,S11
53,82.68333333333334,5,Q4,S11
54,82.96666666666667,5,Q4,S8
55,83.75,5,Q2,S1
56,84.65,5,Q2,S1
57,85.9,5,Q4,S8
58,86.1,5,Q4,S8
59,87.13333333333334,5,Q2,S4
60,87.23333333333333,5,Q2,S1
61,87.3,5,Q4,S5
62,88.83333333333333,5,Q2,S2
63,89.18333333333334,5,Q2,S4
64,89.73333333333333,5,Q4,S2
65,89.78333333333333,5,Q2,S10
66,91.43333333333334,6,Q4,S8
67,91.6,6,Q2,S2
68,91.83333333333333,6,Q4,S7
69,93.15,6,Q2,S1
70,93.68333333333334,6,Q2,S2
71,94.85,6,Q4,S4
72,95.73333333333333,6,Q2,S1
73,95.91666666666667,6,Q4,S2
74,96.05,6,Q2,S8
75,96.1,6,Q4,S4
76,96.15,6,Q2,S1
77,97.28333333333333,6,Q4,S11
78,97.85,6,Q2,S1
79,100.38333333333334,6,Q2,S2
80,101.73333333333333,6,Q3,S5
81,101.73333333333333,6,Q3,S1
82,102.21666666666667,6,Q4,S1
83,102.58333333333333,6,Q3,S1
84,106.58333333333333,7,Q3,S12
85,107.9,7,Q3,S12
86,109.7,7,Q3,S12
87,110.2,7,Q4,S10
88,111.65,7,Q4,S10
89,112.23333333333333,7,Q4,S10
90,112.41666666666667,7,Q4,S12
91,114.26666666666667,7,Q4,S10
92,156.3,10,Q4,S9
93,156.5,10,Q4,S2
94,157.0,10,Q4,S1
95,158.95,10,Q2,S2
96,159.23333333333332,10,Q2,S1
97,160.36666666666667,10,Q4,S10
98,161.13333333333333,10,Q4,S10
99,163.48333333333332,10,Q3,S2
100,164.1,10,Q2,S12
101,165.35,11,Q3,S2
102,166.65,11,Q3,S1
103,166.71666666666667,11,Q3,S4
104,167.26666666666668,11,Q3,S1
105,170.43333333333334,11,Q3,S12
106,170.51666666666668,11,Q3,S8
107,170.71666666666667,11,Q3,S1
108,170.9,11,Q3,S2
109,171.95,11,Q3,S1
110,172.88333333333333,11,Q3,S2
111,173.2,11,Q3,S11
112,173.58333333333334,11,Q3,S9
113,174.56666666666666,11,Q3,S1
114,174.66666666666666,11,Q3,S1
115,176.08333333333334,11,Q4,S3
116,176.68333333333334,11,Q4,S1
117,177.2,11,Q3,S1
118,177.56666666666666,11,Q4,S4
119,178.53333333333333,11,Q3,S2
120,179.05,11,Q3,S1
121,207.0,13,Q3,S12
122,208.96666666666667,13,Q2,S2
123,209.81666666666666,13,Q3,S7
124,209.81666666666666,13,Q3,S2
125,210.48333333333332,14,Q3,S8
126,210.48333333333332,14,Q3,S8
127,210.5,14,Q3,S8
128,210.81666666666666,14,Q2,S2
129,211.35,14,Q3,S2
130,212.23333333333332,14,Q3,S1
131,212.66666666666666,14,Q2,S2
132,212.91666666666666,14,Q3,S1
133,213.1,14,Q3,S8
134,213.1,14,Q3,S8
135,213.13333333333333,14,Q3,S1
136,214.23333333333332,14,Q3,S2
137,214.55,14,Q2,S7
138,214.61666666666667,14,Q2,S2
139,215.13333333333333,14,Q3,S4
140,215.48333333333332,14,Q3,S8
141,215.48333333333332,14,Q3,S8
142,215.88333333333333,14,Q3,S8
143,216.03333333333333,14,Q2,S2
144,216.95,14,Q3,S2
145,217.81666666666666,14,Q3,S10
146,217.81666666666666,14,Q3,S12
147,217.85,14,Q3,S1
148,217.88333333333333,14,Q2,S7
149,219.36666666666667,14,Q3,S2
150,219.65,14,Q3,S2
151,220.03333333333333,14,Q2,S2
152,220.25,14,Q2,S7
153,220.5,14,Q3,S8
154,220.98333333333332,14,Q3,S8
155,222.01666666666668,14,Q3,S3
156,222.01666666666668,14,Q3,S1
157,222.28333333333333,14,Q4,S2
158,222.73333333333332,14,Q2,S4
159,223.26666666666668,14,Q3,S3
160,223.26666666666668,14,Q3,S3
161,223.35,14,Q3,S11
162,223.96666666666667,14,Q3,S4
163,223.96666666666667,14,Q3,S4
164,223.98333333333332,14,Q2,S7
165,224.18333333333334,14,Q3,S10
166,224.73333333333332,14,Q2,S2
167,225.11666666666667,15,Q3,S8
168,225.7,15,Q3,S1
169,225.73333333333332,15,Q4,S9
170,226.36666666666667,15,Q2,S1
171,226.48333333333332,15,Q2,S8
172,226.93333333333334,15,Q3,S4
173,226.93333333333334,15,Q3,S4
174,227.21666666666667,15,Q3,S8
175,227.26666666666668,15,Q3,S8
176,227.66666666666666,15,Q3,S2
177,227.66666666666666,15,Q3,S4
178,229.38333333333333,15,Q3,S4
179,229.38333333333333,15,Q3,S4
180,230.08333333333334,15,Q2,S7
181,230.11666666666667,15,Q3,S4
182,231.33333333333334,15,Q3,S8
183,231.33333333333334,15,Q3,S7
184,233.18333333333334,15,S5,Q3
185,233.4,15,Q3,S2
186,233.98333333333332,15,Q3,S1
187,233.98333333333332,15,Q3,S1
188,234.8,15,Q3,S4
189,234.8,15,Q3,S1
190,236.38333333333333,15,Q2,S7
191,236.8,15,Q4,S8
192,237.2,15,Q4,S8
193,237.81666666666666,15,Q3,S1
194,237.93333333333334,15,Q3,S12
195,237.93333333333334,15,Q3,S8
196,237.93333333333334,15,Q3,S12
197,238.96666666666667,15,Q4,S8
198,239.91666666666666,15,Q2,S1
199,240.3,16,Q4,S8
200,240.38333333333333,16,Q3,S8
201,240.53333333333333,16,Q3,S12
202,240.53333333333333,16,Q3,S12
203,240.9,16,Q3,S4
204,241.25,16,Q2,S1
205,241.35,16,Q4,S8
206,244.28333333333333,16,S5,Q3
207,244.53333333333333,16,Q2,S2
208,246.08333333333334,16,Q4,S1
209,246.23333333333332,16,Q3,S1
210,246.38333333333333,16,Q3,S12
211,246.75,16,Q2,S2
212,247.53333333333333,16,Q3,S12
213,247.53333333333333,16,Q3,S12
214,248.93333333333334,16,Q4,S8
215,249.08333333333334,16,Q3,S1
216,249.5,16,Q2,S4
217,249.85,16,Q3,S4
218,250.83333333333334,16,Q2,S3
219,251.36666666666667,16,Q3,S3
220,251.36666666666667,16,Q3,S3
221,251.68333333333334,16,S5,Q3
222,251.76666666666668,16,Q4,S4
223,251.85,16,Q2,S1
224,253.48333333333332,16,Q2,S8
225,253.66666666666666,16,Q4,S8
226,253.73333333333332,16,Q3,S4
227,253.73333333333332,16,Q3,S4
228,255.63333333333333,17,Q3,S9
229,256.01666666666665,17,S5,Q3
230,256.21666666666664,17,Q2,S1
231,256.45,17,Q3,S10
232,256.45,17,Q3,S10
233,257.85,17,Q2,S1
234,258.28333333333336,17,Q3,S2
235,258.3666666666667,17,S5,Q3
236,258.81666666666666,17,Q4,S8
237,259.1166666666667,17,Q3,S4
238,259.56666666666666,17,Q3,S9
239,260.03333333333336,17,Q2,S1
240,260.15,17,Q3,S12
241,260.15,17,Q3,S12
242,260.1666666666667,17,Q2,S1
243,260.3333333333333,17,Q2,S2
244,260.5,17,Q4,S8
245,261.0833333333333,17,Q3,S1
246,261.0833333333333,17,Q3,S1
247,261.6666666666667,17,S5,Q3
248,262.0,17,Q2,S5
249,262.18333333333334,17,Q3,S9
250,262.55,17,Q2,S8
251,263.03333333333336,17,Q3,S1
252,263.03333333333336,17,Q3,S1
253,263.3833333333333,17,S4,Q3
254,263.6666666666667,17,S5,Q3
255,263.8666666666667,17,Q3,S12
256,263.8666666666667,17,Q3,S12
257,265.3833333333333,17,Q4,S8
258,266.21666666666664,17,Q3,S4
259,266.21666666666664,17,Q3,S1
260,266.3833333333333,17,Q2,S1
261,266.6,17,Q3,S9
262,266.6,17,Q3,S9
263,267.05,17,S2,Q3
264,267.5,17,Q4,S8
265,268.4166666666667,17,Q3,S9
266,268.53333333333336,17,S5,Q3
267,269.68333333333334,17,Q4,S11
268,269.8,17,Q2,S1
269,270.43333333333334,18,Q2,S1
270,270.65,18,Q3,S9
271,271.5,18,Q4,S11
272,271.75,18,S2,Q3
273,272.3833333333333,18,Q2,S3
274,273.06666666666666,18,S2,Q3
275,273.48333333333335,18,Q4,S8
276,273.68333333333334,18,S5,Q3
277,273.75,18,Q2,S1
278,274.73333333333335,18,Q3,S4
279,274.73333333333335,18,Q3,S4
280,274.8666666666667,18,Q2,S8
281,275.05,18,Q2,S8
282,275.1333333333333,18,Q4,S8
283,275.21666666666664,18,Q2,S1
284,275.28333333333336,18,Q3,S1
285,275.28333333333336,18,Q3,S4
286,275.65,18,Q3,S8
287,275.93333333333334,18,Q4,S1
288,276.6333333333333,18,Q2,S7
289,276.6333333333333,18,Q2,S11
290,277.53333333333336,18,S4,Q3
291,278.1166666666667,18,Q2,S11
292,278.21666666666664,18,Q3,S8
