decision_step,time_stamp_min,origin,destination,count
0,0.0,Q1,S2,1
0,0.0,Q4,S5,1
1,15.0,Q1,S2,1
1,15.0,Q2,S5,1
1,15.0,Q2,S8,1
2,30.0,Q1,S1,2
2,30.0,Q1,S2,1
2,30.0,Q1,S11,1
2,30.0,Q2,S5,1
2,30.0,Q2,S7,1
2,30.0,Q4,S8,1
3,45.0,Q2,S1,1
3,45.0,Q2,S4,1
3,45.0,Q2,S12,1
3,45.0,Q4,S1,1
3,45.0,Q4,S4,1
3,45.0,Q4,S7,1
3,45.0,Q4,S8,1
3,45.0,Q4,S12,2
4,60.0,Q2,S2,3
4,60.0,Q2,S3,1
4,60.0,Q2,S4,2
4,60.0,Q2,S7,1
4,60.0,Q2,S10,2
4,60.0,Q2,S11,1
4,60.0,Q2,S12,4
4,60.0,Q4,S1,1
4,60.0,Q4,S2,1
4,60.0,Q4,S4,3
4,60.0,Q4,S7,2
4,60.0,Q4,S11,3
5,75.0,Q2,S1,3
5,75.0,Q2,S2,1
5,75.0,Q2,S4,4
5,75.0,Q2,S10,1
5,75.0,Q4,S2,1
5,75.0,Q4,S5,1
5,75.0,Q4,S8,5
5,75.0,Q4,S9,1
5,75.0,Q4,S11,4
6,90.0,Q2,S1,4
6,90.0,Q2,S2,3
6,90.0,Q2,S8,1
6,90.0,Q3,S1,2
6,90.0,Q3,S5,1
6,90.0,Q4,S1,1
6,90.0,Q4,S2,1
6,90.0,Q4,S4,2
6,90.0,Q4,S7,1
6,90.0,Q4,S8,1
6,90.0,Q4,S11,1
7,105.0,Q3,S12,3
7,105.0,Q4,S10,4
7,105.0,Q4,S12,1
10,150.0,Q2,S1,1
10,150.0,Q2,S2,1
10,150.0,Q2,S12,1
10,150.0,Q3,S2,1
10,150.0,Q4,S1,1
10,150.0,Q4,S2,1
10,150.0,Q4,S9,1
10,150.0,Q4,S10,2
11,165.0,Q3,S1,8
11,165.0,Q3,S2,4
11,165.0,Q3,S4,1
11,165.0,Q3,S8,1
11,165.0,Q3,S9,1
11,165.0,Q3,S11,1
11,165.0,Q3,S12,1
11,165.0,Q4,S1,1
11,165.0,Q4,S3,1
11,165.0,Q4,S4,1
13,195.0,Q2,S2,1
13,195.0,Q3,S2,1
13,195.0,Q3,S7,1
13,195.0,Q3,S12,1
14,210.0,Q2,S2,6
14,210.0,Q2,S4,1
14,210.0,Q2,S7,4
14,210.0,Q3,S1,5
14,210.0,Q3,S2,5
14,210.0,Q3,S3,3
14,210.0,Q3,S4,3
14,210.0,Q3,S8,10
14,210.0,Q3,S10,2
14,210.0,Q3,S11,1
14,210.0,Q3,S12,1
14,210.0,Q4,S2,1
15,225.0,Q2,S1,2
15,225.0,Q2,S7,2
15,225.0,Q2,S8,1
15,225.0,Q3,S1,5
15,225.0,Q3,S2,2
15,225.0,Q3,S4,7
15,225.0,Q3,S7,1
15,225.0,Q3,S8,5
15,225.0,Q3,S12,2
15,225.0,Q4,S8,3
15,225.0,Q4,S9,1
15,225.0,S5,Q3,1
16,240.0,Q2,S1,2
16,240.0,Q2,S2,2
16,240.0,Q2,S3,1
16,240.0,Q2,S4,1
16,240.0,Q2,S8,1
16,240.0,Q3,S1,2
16,240.0,Q3,S3,2
16,240.0,Q3,S4,4
16,240.0,Q3,S8,1
16,240.0,Q3,S12,5
16,240.0,Q4,S1,1
16,240.0,Q4,S4,1
16,240.0,Q4,S8,4
16,240.0,S5,Q3,2
17,255.0,Q2,S1,6
17,255.0,Q2,S2,1
17,255.0,Q2,S5,1
17,255.0,Q2,S8,1
17,255.0,Q3,S1,5
17,255.0,Q3,S2,1
17,255.0,Q3,S4,2
17,255.0,Q3,S9,6
17,255.0,Q3,S10,2
17,255.0,Q3,S12,4
17,255.0,Q4,S8,4
17,255.0,Q4,S11,1
17,255.0,S2,Q3,1
17,255.0,S4,Q3,1
17,255.0,S5,Q3,5
18,270.0,Q2,S1,4
18,270.0,Q2,S3,1
18,270.0,Q2,S4,1
18,270.0,Q2,S7,2
18,270.0,Q2,S8,3
18,270.0,Q2,S11,2
18,270.0,Q3,S1,4
18,270.0,Q3,S4,4
18,270.0,Q3,S8,4
18,270.0,Q3,S9,3
18,270.0,Q3,S12,2
18,270.0,Q4,S1,1
18,270.0,Q4,S8,2
18,270.0,Q4,S9,1
18,270.0,Q4,S11,1
18,270.0,S2,Q3,2
18,270.0,S4,Q3,2
18,270.0,S5,Q3,3
18,270.0,S11,Q4,1
19,285.0,Q2,S1,2
