origin,Q1,Q2,Q3,Q4,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
Q1,,27.23477719850006,26.98477719850006,26.73477719850006,13.20743851258038,13.45743851258038,13.70743851258038,13.45743851258038,13.70743851258038,13.95743851258038,13.70743851258038,14.808857667410681,14.20743851258038,16.182684978965806,15.172832994195646,14.45743851258038
Q2,1.1899257826636371,,28.174702981163698,27.924702981163698,14.397364295244017,14.647364295244017,14.897364295244017,14.647364295244017,14.897364295244017,15.147364295244017,14.897364295244017,15.998783450074319,15.397364295244017,17.372610761629446,16.362758776859284,15.647364295244017
Q3,1.4399257826636371,0.25,,28.174702981163698,14.647364295244017,14.897364295244017,15.147364295244017,14.897364295244017,15.147364295244017,15.397364295244017,15.147364295244017,16.248783450074317,15.647364295244017,17.622610761629446,16.612758776859284,15.897364295244017
Q4,1.6899257826636371,0.5,0.25,,14.897364295244017,15.147364295244017,15.397364295244017,15.147364295244017,15.397364295244017,15.647364295244017,15.397364295244017,16.498783450074317,15.897364295244017,17.872610761629446,16.862758776859284,16.147364295244017
S1,9.795659542952247,10.201837184849271,9.399967881547763,13.527338685919679,,23.253098055532625,23.503098055532625,0.25,23.503098055532625,23.753098055532625,0.5,24.60451721036293,24.003098055532625,2.975246466385427,24.968492537147892,24.253098055532625
S2,10.045659542952247,11.869735762480653,10.53508727544789,13.036058916895934,0.25,,23.753098055532625,3.49061488673136,0.25,24.003098055532625,0.9779877736518425,1.3514191548303014,24.253098055532625,3.3250195421387834,1.715394481615266,24.503098055532625
S3,10.295659542952247,12.318829464263025,12.39058276827918,15.311279322012059,23.503098055532625,23.753098055532625,,2.366992279413755,0.6990937017823728,0.25,2.616992279413755,1.8005128566126742,0.5,5.0922387457991825,2.164488183397639,0.75
S4,11.141762967512909,9.951837184849271,9.149967881547763,13.277338685919679,24.34920148009329,24.59920148009329,24.84920148009329,,24.84920148009329,25.09920148009329,0.25,25.950620634923588,25.34920148009329,2.725246466385427,26.314595961708555,25.59920148009329
S5,12.80966154514429,11.619735762480653,9.627955655199605,13.755326459571522,26.01710005772467,26.26710005772467,26.51710005772467,26.26710005772467,,26.76710005772467,0.7279877736518425,1.1014191548303014,27.01710005772467,3.2032342400372693,1.465394481615266,27.26710005772467
S6,13.05966154514429,11.869735762480653,12.674283007348983,15.175254648797026,26.26710005772467,26.51710005772467,26.76710005772467,26.51710005772467,26.76710005772467,,3.774315125801219,3.4906148867313944,0.25,6.249561592186646,3.8545902135163588,0.5
S7,10.3398936642114,9.149967881547763,8.899967881547763,13.027338685919679,23.54733217679178,23.79733217679178,24.04733217679178,23.79733217679178,24.04733217679178,24.29733217679178,,25.14875133162208,24.54733217679178,2.475246466385427,25.512726658407047,24.79733217679178
S8,10.623593903281225,9.433668120617588,9.183668120617588,12.525692606842734,23.831032415861603,24.081032415861603,24.331032415861603,24.081032415861603,24.331032415861603,24.581032415861603,24.331032415861603,,24.831032415861603,1.973600387308482,0.3639753267849645,25.081032415861603
S9,10.873593903281225,9.683668120617588,9.433668120617588,14.811279322012059,24.081032415861603,24.331032415861603,24.581032415861603,24.331032415861603,24.581032415861603,24.831032415861603,24.581032415861603,25.682451570691907,,4.259187102477806,3.4906148867313904,0.25
S10,12.24201800219789,11.052092219534252,10.802092219534252,10.552092219534252,25.44945651477827,25.69945651477827,25.94945651477827,25.69945651477827,25.94945651477827,26.19945651477827,25.94945651477827,27.05087566960857,26.44945651477827,,27.414850996393536,26.69945651477827
S11,13.010590217944305,11.820664435280667,11.570664435280667,11.320664435280667,26.218028730524683,26.468028730524683,26.718028730524683,26.468028730524683,26.718028730524683,26.968028730524683,26.718028730524683,27.819447885354986,27.218028730524683,29.19327519691011,,27.468028730524683
S12,13.260590217944305,12.070664435280667,11.820664435280667,11.570664435280667,26.468028730524683,26.718028730524683,26.968028730524683,26.718028730524683,26.968028730524683,27.218028730524683,26.968028730524683,28.069447885354986,27.468028730524683,29.44327519691011,28.43342321213995,
