metric,n,mean,sample_standard_deviation,median,minimum,maximum,ci95_low,ci95_high
cumulative_scaled_reward,3,95.61887402149314,4.079404034974979,93.35304050292496,93.17533497507101,100.32824658648347,85.4850719802391,105.75267606274718
service_rate_by_release_horizon,3,0.8508471052905104,0.00794574986118547,0.8468974119114437,0.8456501403180543,0.8599937636420331,0.8311087671724355,0.8705854434085853
mean_waiting_time,3,506.99819145618966,12.175776140199789,513.7287807920175,492.9429996881821,514.3227938883692,476.7518848767126,537.2444980356667
median_waiting_time,3,395.1499999999999,9.223264666651973,400.4333333333333,384.5,400.51666666666665,372.2381389770166,418.06186102298324
p90_waiting_time,3,1162.7577777777778,33.96907586047655,1178.6699999999998,1123.7533333333333,1185.85,1078.3739100992918,1247.1416454562639
p95_waiting_time,3,1265.7094444444444,37.481729413339714,1287.1316666666664,1222.4299999999998,1287.5666666666666,1172.5996610589007,1358.8192278299882
max_waiting_time,3,1460.216666666667,40.99101527570805,1475.9833333333333,1413.6833333333334,1490.9833333333333,1358.3893333815506,1562.0439999517832
waiting_cost,3,16018.799999999997,390.47714081620705,16234.65,15568.05,16253.699999999999,15048.80094799617,16988.799052003826
rebalancing_cost,3,1901.2930115714273,17.49437738280653,1910.7469162136417,1881.1057550723945,1912.0263634282462,1857.8345662415716,1944.751456901283
loaded_cost,3,4588.019586279258,0.0,4588.019586279258,4588.019586279258,4588.019586279258,4588.019586279258,4588.019586279258
total_rebalanced_vehicles,3,2018.0,38.22302970723278,2037.0,1974.0,2043.0,1923.0487244830003,2112.951275517
total_episode_steps,3,216.0,3.0,216.0,213.0,219.0,208.54758639666136,223.45241360333864
queue_clear_step,3,190.66666666666666,3.2145502536643185,192.0,187.0,193.0,182.68128065365877,198.65205267967454
maximum_conservation_error,3,8.548302806351178e-11,6.859212194747174e-12,8.94004870133358e-11,7.756284503557254e-11,8.948575214162702e-11,6.844379930740504e-11,1.0252225681961852e-10
